Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"School enrollment, secondary (% net)",SE.SEC.NENR,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Colombia,COL,..,..,77.26227,75.66677,76.31163,75.58286,75.60237,76.20192,76.5618,77.47078,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Comoros,COM,..,..,..,..,44.41592,44.7685,..,..,42.9786,50.35748,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Costa Rica,CRI,37.34656,..,75.30508,75.64349,76.95778,77.99166,80.32835,82.5849,81.86735,82.44799,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Cote d'Ivoire,CIV,..,..,..,..,..,30.17366,..,34.6828,37.99436,40.19814,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Croatia,HRV,..,82.35159,94.33046,94.13438,93.30197,92.39203,92.24036,91.87656,92.39267,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Cuba,CUB,68.61211,80.49006,87.90295,86.64642,87.24085,85.14799,83.56161,84.18424,84.18099,84.18162,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Cyprus,CYP,..,88.0464,89.68342,91.83179,93.17237,94.71498,94.63238,94.09316,95.337,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Czech Republic,CZE,..,..,..,..,87.77459,88.87644,90.16472,91.00416,90.51857,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Denmark,DNK,87.10454,88.60073,91.17921,90.22411,90.11001,89.4441,89.39882,89.88581,90.92146,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Djibouti,DJI,..,..,..,..,..,..,37.8168,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Dominica,DMA,..,88.51696,72.73973,..,..,..,80.9661,87.73568,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Dominican Republic,DOM,..,40.60467,63.17685,63.82419,65.55798,66.95176,67.83227,68.88978,70.27235,70.60614,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Ecuador,ECU,..,47.76897,72.8084,76.17987,80.13801,83.36107,84.72536,85.92267,85.3386,84.67039,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Egypt, Arab Rep.",EGY,..,..,..,..,..,76.81479,..,80.74153,81.65996,82.77635,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,El Salvador,SLV,..,47.93307,63.49826,65.32173,67.03843,66.52072,65.16322,63.97324,60.18056,61.83092,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Eritrea,ERI,..,27.63756,48.75162,51.39255,48.24244,48.19877,42.78074,..,40.69051,41.57501,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Estonia,EST,..,85.07887,91.33162,91.28602,92.09885,92.68432,93.82438,94.2014,94.36474,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Eswatini,SWZ,..,31.12904,39.58057,40.13429,39.00495,40.49563,41.69996,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Ethiopia,ETH,..,12.48979,..,..,..,30.09293,30.8138,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Fiji,FJI,..,72.26564,85.09221,84.52339,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Finland,FIN,..,94.47773,93.49709,92.86466,94.476,94.61306,95.26385,95.93474,96.1047,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,France,FRA,82.68329,89.91505,92.86607,93.22666,93.39347,92.95679,93.58103,93.95576,94.66595,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Georgia,GEO,..,85.2912,..,..,88.75413,90.22179,91.29973,92.4141,94.21028,95.94754,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Germany,DEU,..,..,88.47512,88.0323,87.32363,86.63283,86.12309,85.46939,85.29882,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Ghana,GHA,..,32.14966,..,..,52.66323,52.13977,55.58338,55.43891,55.4414,58.2609,57.24406,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Gibraltar,GIB,..,..,..,..,..,..,..,89.36282,93.83962,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Greece,GRC,80.79063,79.81704,..,..,93.39264,91.30938,92.49466,92.48486,93.34588,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Grenada,GRD,..,..,..,..,88.37907,91.55919,95.53421,..,87.72998,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Guatemala,GTM,..,24.4983,42.21131,42.66609,42.87372,43.12295,44.13192,43.92075,43.59611,43.77665,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Guinea,GIN,6.24106,..,30.02945,..,..,32.20633,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Guinea-Bissau,GNB,..,8.55698,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Guyana,GUY,..,..,86.77272,82.33976,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
