Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
High-technology exports (current US$),TX.VAL.TECH.CD,Colombia,COL,..,..,436937539,572836749,781609895,762857177,824135430,778286862,694848478,606299077,759451766,..
High-technology exports (current US$),TX.VAL.TECH.CD,Comoros,COM,..,..,..,..,..,194926,134024,20214,2120514,28671,834198,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Congo, Rep.",COG,..,..,..,..,..,50969354,63301838,75582346,90335843,42263310,31263357,..
High-technology exports (current US$),TX.VAL.TECH.CD,Costa Rica,CRI,..,..,2521508758,2732195463,3074122924,2418629267,869907738,951923465,1106846239,1148831708,1154572220,..
High-technology exports (current US$),TX.VAL.TECH.CD,Cote d'Ivoire,CIV,..,..,177476167,96850645,166909348,243079002,188548008,126534585,137431113,78785574,141822739,..
High-technology exports (current US$),TX.VAL.TECH.CD,Croatia,HRV,..,..,776016219,913351649,999788842,915592300,915710065,1336108842,923411397,1011939688,954203937,..
High-technology exports (current US$),TX.VAL.TECH.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Cyprus,CYP,..,..,112875069,55513253,56343471,68739416,57425206,56436100,57707767,95712384,92911881,..
High-technology exports (current US$),TX.VAL.TECH.CD,Czech Republic,CZE,..,..,26850108584,25444035514,24688886246,26920796119,24815446357,24842643045,29543508515,36128837160,37834284166,..
High-technology exports (current US$),TX.VAL.TECH.CD,Denmark,DNK,..,..,10408611696,9742795424,10204683144,10641145823,10096888703,10056851237,8937322533,9567953051,9581327558,..
High-technology exports (current US$),TX.VAL.TECH.CD,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
