Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa,MEA,54.9404442331794,58.5956742955636,63.0020017003942,63.3402890474028,63.6743225698801,64.0000694921524,64.3709008106138,64.7195476678184,65.0525797076706,65.3719859554066,65.6786148250796,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (excluding high income),MNA,51.7674708866369,55.4468294851353,59.3424433747814,59.6375022268567,59.9402257031459,60.2416638836733,60.6016305470766,60.9416846531516,61.2705251900232,61.5905475175283,61.9034003740813,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,51.6268601003718,55.2721271034165,59.1680959369609,59.4626572621304,59.7650187508709,60.0660759466011,60.4263378050077,60.7664050996666,61.0954482266521,61.4145429982846,61.7263904659042,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle income,MIC,36.4308181502143,41.3250683396188,48.1387335838539,48.7403771695535,49.3412566402084,49.9416799711574,50.538964110561,51.1336336699765,51.7249757239879,52.3075625689113,52.8817659250772,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North America,NAC,75.433269385553,79.102424122048,80.9626434708033,81.1243019333381,81.2903725598759,81.4598663734102,81.6330826495724,81.8087506717953,81.9896173704686,82.173045483989,82.3616940875178,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,OECD members,OED,73.104106097812,75.6647566308053,79.2343278575698,79.4271395308316,79.6171710611585,79.806694624239,80.00066670087,80.1970389671665,80.3967325115835,80.5989299540127,80.8045728533655,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Other small states,OSS,45.4121395707558,49.8209902669071,58.2467809572079,58.9122885949953,59.4973871821482,60.0547692281278,60.5953654613588,61.1179903687112,61.6246354891074,62.1185434877544,62.5965028738945,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,31.5111765551261,34.5438807002668,37.1078306792137,37.3390131056972,37.5635862869273,37.8026175157066,38.041259603629,38.2907357416781,38.5304686134184,38.7813441179116,39.0383906719183,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,74.0603539983029,76.4692786518702,80.063959364466,80.2373006509285,80.4048990669651,80.5729677694465,80.745893219599,80.9204683060135,81.0985892132515,81.2798533425847,81.4657268032802,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,28.3426850158945,32.069050504144,37.4221737528511,37.961991742767,38.5052085341605,39.0497427304953,39.5938901250117,40.1368381981726,40.6808140791446,41.2269515142477,41.7764539359743,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Small states,SST,45.2843737838363,48.8956326531189,55.4038054896199,55.9503804944,56.4393194464378,56.9121850236437,57.3772125031475,57.8335819897113,58.2818866148395,58.7249107033434,59.1584513274186,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia,SAS,25.0648202379086,27.3813026238155,31.1838911739091,31.5607072640053,31.9444456764314,32.3368459178729,32.7375612918406,33.1463250923278,33.5641371405013,33.9923612456427,34.4318973569298,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,25.0648202379086,27.3813026238155,31.1838911739091,31.5607072640053,31.9444456764314,32.3368459178729,32.7375612918406,33.1463250923278,33.5641371405013,33.9923612456427,34.4318973569298,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,27.3640811686932,31.35364920515,36.5238556179803,37.0372293348024,37.5511126300957,38.0691040304668,38.5910727362463,39.1161646131932,39.6446620067182,40.1768233729515,40.7127787953052,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,27.3266435338453,31.3310924970697,36.5152590023307,37.0296973458116,37.5445837077641,38.0635443508636,38.586433579824,39.112395427737,39.6417010185905,40.1746156500903,40.7112691822276,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,27.3640811686932,31.35364920515,36.5238556179803,37.0372293348024,37.5511126300957,38.0691040304669,38.5910727362463,39.1161646131932,39.6446620067182,40.1768233729515,40.7127787953052,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,41.9850378266925,49.5221009274858,59.7429757569018,60.6033049630561,61.4558789034635,62.3023047687404,63.13791385669,63.9637993418647,64.7772743286459,65.5736066286083,66.3518334732072,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,World,WLD,43.0288022425516,46.689322595025,52.1039541624902,52.555064236563,53.0055928920255,53.4579405967194,53.9142475366878,54.3702814721235,54.8230784783682,55.2704676176557,55.7142846675449,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,
